station_slug,station_name,address,province
ben-xe-vung-tau,Bến xe Vũng Tàu,"Nam Kỳ Khởi Nghĩa, Thắng Tam, Vũng Tàu",Bà Rịa-Vũng Tàu
ben-xe-duc-long-gia-lai,Bến xe Đức Long Gia Lai,"43 Lý Nam Đế, phường Trà Bá, Pleiku",Gia Lai
ben-xe-91b-can-tho,Bến xe 91B Cần Thơ,"Lộ 91B Nguyễn Văn Linh, Ninh Kiều, Thành phố Cần Thơ",Cần Thơ
ben-xe-an-phu,Bến xe An Phú,"9 Liên Huyện, An Phú, Thuận An, Bình Dương, Vietnam, Thuận An",Bình Dương
ben-xe-an-suong,Bến xe An Sương,"Quốc Lộ 22, Bà Điểm, Hóc Môn, Hồ Chí Minh, Vietnam, Hóc Môn, Thành phố Hồ Chí Minh",Hồ Chí Minh
ben-xe-ba-tri,Bến xe Ba Tri,"Tỉnh Lộ 887, An Bình Tây, Ba Tri, Bến Tre, Vietnam, Ba Tri",Bến Tre
ben-xe-ba-don,Bến xe Ba Đồn,"69 Hùng Vương, Quảng Trạch",Quảng Bình
ben-xe-bien-hoa,Bến xe Biên Hòa,"04 Nguyễn Ái Quốc, Quang Vinh, tp. Biên Hòa, Đồng Nai, Vietnam, Biên Hòa",Đồng Nai
ben-xe-buon-ma-thuot,Bến xe Buôn Ma Thuột,"72 Ngô Gia Tự, Buôn Ma Thuột",Đắk Lắk
ben-xe-bai-chay,Bến xe Bãi Cháy,"Số 17 Đường 279, Hạ Long",Quảng Ninh
ben-xe-binh-chau,Bến xe Bình Châu,"Âp Bình An,Xa Bình Châu ,Xuyên Mộc Vũ ng Tàu, Bình Châu, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam, Xuyên Mộc",Bà Rịa-Vũng Tàu
ben-xe-bac-ruong,Bến xe Bắc Ruộng,"Đường 717 - Bắc Ruộng, Tánh Linh",Bình Thuận
ben-xe-ben-tre,Bến xe Bến Tre,"QL60, Sơn Đông, Tp. Bến Tre, Bến Tre, Vietnam, Bến Tre",Bến Tre
ben-xe-ben-trai,Bến xe Bến Trại,"Tỉnh lộ 392B, thôn An Phong, xã Tiền Phong, Thanh Miện",Hải Dương
ben-xe-bong-son,Bến xe Bồng Sơn,"Bồng Sơn 1A, TT. Bồng Sơn, Hoài Nhơn, Bình Định, Vietnam, Hoài Nhơn",Bình Định
ben-xe-chin-nghia,Bến xe Chín Nghĩa,"Đường Đinh Tiên Hoàng, phường Nghĩa Chánh, Quảng Ngãi",Quảng Ngãi
ben-xe-cho-luc,Bến xe Chợ Lục,"xã Thái Xuyên, Thái Thụy",Thái Bình
ben-xe-ca-mau,Bến xe Cà Mau,"Quốc Lộ 1A, Lý Thường Kiệt, Khóm 5, Phường 6, Cà Mau",Cà Mau
ben-xe-can-tho,Bến xe Cần Thơ,"Ninh Kiều, Thành phố Cần Thơ",Ninh Kiều
ben-xe-cau-rao,Bến xe Cầu Rào,"Số 1 Thiên Lôi, Ngô Quyền, Thành phố Hải Phòng",Hải Phòng
ben-xe-cua-ong,Bến xe Cửa Ông,"Số 48 Lý Thường Kiệt, Cửa Ông, Cẩm Phả",Quảng Ninh
ben-xe-duyen-hai,Bến xe Duyên Hải,"Khóm 2 Quốc Lộ 53 - Thị Trấn Duyên Hải, Thị xã Duyên Hải",Trà Vinh
ben-xe-ea-sup,Bến xe Ea Súp,"Chu Văn An, tt. Ea Súp, Ea Súp, Đắk Lắk, Vietnam, Ea Súp",Đắk Lắk
